'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.630,-0.523,-0.971,-0.936,-1.434,-0.520
'0:00.002',-0.745,-0.557,-1.072,-1.025,-1.567,-0.552
'0:00.004',-0.951,-0.526,-1.004,-0.953,-1.481,-0.521
'0:00.006',-0.991,-0.499,-0.941,-0.892,-1.412,-0.497
'0:00.008',-1.102,-0.490,-0.916,-0.870,-1.394,-0.492
'0:00.010',-1.281,-0.490,-0.911,-0.868,-1.394,-0.496
'0:00.012',-1.153,-0.495,-0.911,-0.867,-1.388,-0.499
'0:00.014',-0.921,-0.498,-0.903,-0.861,-1.373,-0.500
'0:00.016',-0.898,-0.496,-0.886,-0.850,-1.351,-0.492
'0:00.018',-0.951,-0.484,-0.856,-0.834,-1.329,-0.476
'0:00.020',-0.920,-0.464,-0.820,-0.812,-1.309,-0.452
'0:00.022',-0.900,-0.439,-0.789,-0.793,-1.294,-0.430
'0:00.024',-0.897,-0.420,-0.768,-0.779,-1.281,-0.413
'0:00.026',-0.866,-0.405,-0.754,-0.774,-1.272,-0.401
'0:00.028',-0.876,-0.398,-0.742,-0.776,-1.266,-0.397
'0:00.030',-0.907,-0.397,-0.729,-0.779,-1.261,-0.397
'0:00.032',-0.889,-0.396,-0.719,-0.780,-1.251,-0.396
'0:00.034',-0.854,-0.390,-0.710,-0.780,-1.239,-0.389
'0:00.036',-0.862,-0.381,-0.703,-0.780,-1.225,-0.376
'0:00.038',-0.867,-0.365,-0.694,-0.776,-1.210,-0.358
'0:00.040',-0.865,-0.346,-0.683,-0.763,-1.193,-0.337
'0:00.042',-0.880,-0.327,-0.672,-0.746,-1.176,-0.321
'0:00.044',-0.875,-0.320,-0.671,-0.728,-1.160,-0.319
'0:00.046',-0.866,-0.322,-0.679,-0.710,-1.141,-0.327
'0:00.048',-0.864,-0.332,-0.684,-0.695,-1.117,-0.338
'0:00.050',-0.870,-0.338,-0.678,-0.679,-1.091,-0.341
'0:00.052',-0.861,-0.338,-0.661,-0.664,-1.066,-0.338
'0:00.054',-0.844,-0.328,-0.641,-0.649,-1.041,-0.323
'0:00.056',-0.840,-0.309,-0.626,-0.634,-1.013,-0.300
'0:00.058',-0.839,-0.289,-0.610,-0.623,-0.982,-0.278
'0:00.060',-0.822,-0.271,-0.593,-0.613,-0.957,-0.263
'0:00.062',-0.803,-0.259,-0.575,-0.606,-0.942,-0.257
'0:00.064',-0.790,-0.252,-0.557,-0.601,-0.937,-0.254
'0:00.066',-0.787,-0.248,-0.542,-0.597,-0.933,-0.251
'0:00.068',-0.785,-0.246,-0.532,-0.590,-0.926,-0.249
