'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV'
'0:00.000',0.086,0.119,0.126,0.107,-0.072,0.121
'0:00.002',0.105,0.141,0.150,0.126,-0.077,0.142
'0:00.004',0.155,0.131,0.146,0.118,-0.077,0.126
'0:00.006',0.158,0.114,0.127,0.105,-0.078,0.107
'0:00.008',0.186,0.099,0.107,0.096,-0.080,0.094
'0:00.010',0.210,0.087,0.090,0.088,-0.082,0.083
'0:00.012',0.173,0.075,0.076,0.080,-0.085,0.069
'0:00.014',0.111,0.058,0.058,0.072,-0.090,0.050
'0:00.016',0.101,0.040,0.041,0.062,-0.095,0.033
'0:00.018',0.108,0.028,0.034,0.054,-0.096,0.026
'0:00.020',0.115,0.025,0.037,0.053,-0.093,0.028
'0:00.022',0.130,0.031,0.048,0.060,-0.090,0.039
'0:00.024',0.138,0.048,0.071,0.072,-0.082,0.060
'0:00.026',0.141,0.071,0.094,0.083,-0.075,0.082
'0:00.028',0.153,0.089,0.112,0.086,-0.066,0.094
'0:00.030',0.179,0.097,0.118,0.088,-0.060,0.100
'0:00.032',0.199,0.101,0.115,0.089,-0.051,0.103
'0:00.034',0.205,0.106,0.116,0.092,-0.042,0.111
'0:00.036',0.212,0.114,0.126,0.093,-0.032,0.121
'0:00.038',0.214,0.124,0.141,0.089,-0.028,0.129
'0:00.040',0.219,0.132,0.152,0.082,-0.025,0.134
'0:00.042',0.220,0.136,0.154,0.078,-0.025,0.139
'0:00.044',0.225,0.141,0.158,0.076,-0.024,0.147
'0:00.046',0.217,0.151,0.166,0.079,-0.024,0.156
'0:00.048',0.207,0.158,0.169,0.083,-0.022,0.160
'0:00.050',0.204,0.160,0.159,0.085,-0.018,0.156
'0:00.052',0.191,0.151,0.134,0.082,-0.015,0.146
'0:00.054',0.173,0.137,0.107,0.071,-0.016,0.130
'0:00.056',0.176,0.121,0.088,0.058,-0.022,0.115
'0:00.058',0.192,0.108,0.079,0.049,-0.027,0.110
'0:00.060',0.176,0.109,0.084,0.051,-0.025,0.116
'0:00.062',0.173,0.122,0.106,0.058,-0.021,0.128
'0:00.064',0.163,0.134,0.126,0.057,-0.028,0.134
'0:00.066',0.176,0.134,0.131,0.051,-0.040,0.132
'0:00.068',0.182,0.128,0.126,0.041,-0.052,0.125
'0:00.070',0.180,0.121,0.120,0.034,-0.057,0.119
'0:00.072',0.198,0.116,0.113,0.032,-0.056,0.116
'0:00.074',0.204,0.114,0.109,0.036,-0.048,0.118
'0:00.076',0.204,0.121,0.113,0.046,-0.036,0.126
'0:00.078',0.184,0.131,0.124,0.058,-0.025,0.135
'0:00.080',0.194,0.139,0.132,0.064,-0.022,0.139
'0:00.082',0.194,0.140,0.134,0.062,-0.026,0.139
'0:00.084',0.184,0.137,0.132,0.059,-0.029,0.139
'0:00.086',0.177,0.137,0.127,0.060,-0.028,0.141
'0:00.088',0.188,0.136,0.118,0.066,-0.026,0.136
'0:00.090',0.183,0.132,0.107,0.074,-0.022,0.129
'0:00.092',0.178,0.128,0.101,0.078,-0.017,0.126
'0:00.094',0.175,0.126,0.101,0.079,-0.015,0.124
'0:00.096',0.176,0.122,0.101,0.079,-0.018,0.122
'0:00.098',0.175,0.119,0.105,0.081,-0.023,0.119
'0:00.100',0.178,0.117,0.109,0.083,-0.022,0.118
'0:00.102',0.166,0.118,0.112,0.088,-0.016,0.120
'0:00.104',0.178,0.122,0.113,0.092,-0.010,0.124
'0:00.106',0.165,0.124,0.113,0.096,-0.008,0.124
'0:00.108',0.166,0.121,0.106,0.096,-0.010,0.117
'0:00.110',0.165,0.111,0.096,0.092,-0.017,0.105
'0:00.112',0.140,0.097,0.088,0.078,-0.029,0.089
'0:00.114',0.135,0.080,0.078,0.063,-0.045,0.071
'0:00.116',0.143,0.061,0.063,0.046,-0.060,0.054
