'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV'
'0:00.000',0.683,3.284,1.696,4.891,4.208,3.283
'0:00.002',1.032,3.674,1.905,5.508,4.713,3.672
'0:00.004',1.613,3.431,1.789,5.176,4.411,3.429
'0:00.006',1.715,3.232,1.694,4.882,4.163,3.236
'0:00.008',2.045,3.186,1.668,4.777,4.098,3.193
'0:00.010',2.532,3.190,1.661,4.733,4.084,3.196
'0:00.012',2.199,3.176,1.639,4.684,4.043,3.174
'0:00.014',1.608,3.131,1.601,4.627,3.974,3.122
'0:00.016',1.616,3.072,1.562,4.571,3.908,3.066
'0:00.018',1.799,3.028,1.543,4.521,3.864,3.034
'0:00.020',1.735,3.011,1.548,4.483,3.840,3.026
'0:00.022',1.723,3.009,1.568,4.455,3.814,3.026
'0:00.024',1.750,3.004,1.589,4.423,3.780,3.014
'0:00.026',1.710,2.985,1.601,4.380,3.738,2.988
'0:00.028',1.770,2.954,1.595,4.331,3.696,2.951
'0:00.030',1.890,2.913,1.572,4.286,3.655,2.908
'0:00.032',1.839,2.868,1.541,4.248,3.609,2.860
'0:00.034',1.744,2.818,1.502,4.205,3.555,2.811
'0:00.036',1.737,2.770,1.467,4.142,3.486,2.762
'0:00.038',1.753,2.722,1.440,4.063,3.411,2.714
'0:00.040',1.712,2.676,1.423,3.990,3.343,2.669
'0:00.042',1.676,2.633,1.403,3.933,3.289,2.630
'0:00.044',1.653,2.599,1.376,3.889,3.241,2.598
'0:00.046',1.625,2.567,1.342,3.852,3.195,2.564
'0:00.048',1.617,2.533,1.310,3.816,3.148,2.530
'0:00.050',1.643,2.499,1.283,3.776,3.101,2.494
'0:00.052',1.629,2.465,1.262,3.724,3.053,2.463
'0:00.054',1.611,2.432,1.248,3.663,3.008,2.431
'0:00.056',1.607,2.403,1.244,3.609,2.968,2.406
'0:00.058',1.611,2.382,1.246,3.580,2.940,2.387
'0:00.060',1.597,2.365,1.246,3.573,2.921,2.372
'0:00.062',1.591,2.347,1.239,3.567,2.900,2.352
'0:00.064',1.593,2.327,1.221,3.544,2.874,2.329
'0:00.066',1.575,2.304,1.197,3.503,2.844,2.305
'0:00.068',1.558,2.278,1.171,3.448,2.811,2.278
'0:00.070',1.552,2.248,1.143,3.393,2.778,2.245
'0:00.072',1.552,2.214,1.114,3.349,2.744,2.208
'0:00.074',1.538,2.177,1.091,3.314,2.710,2.174
'0:00.076',1.545,2.145,1.086,3.264,2.675,2.146
'0:00.078',1.522,2.119,1.099,3.191,2.632,2.121
'0:00.080',1.520,2.092,1.111,3.114,2.580,2.089
'0:00.082',1.518,2.057,1.105,3.066,2.530,2.051
'0:00.084',1.524,2.023,1.085,3.051,2.493,2.021
