'Elapsed time','ECG','Abdomen_1','Abdomen_2','Abdomen_3','Abdomen_4','Abdomen_5'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.189,-0.239,-0.210,-0.170,-0.070,-0.113
'0:00.001',-0.194,-0.455,-0.386,-0.290,-0.140,-0.237
'0:00.002',-0.190,-0.602,-0.508,-0.376,-0.192,-0.328
'0:00.003',-0.174,-0.682,-0.576,-0.427,-0.224,-0.383
'0:00.004',-0.180,-0.709,-0.601,-0.450,-0.239,-0.408
'0:00.005',-0.210,-0.703,-0.600,-0.455,-0.243,-0.412
'0:00.006',-0.219,-0.684,-0.585,-0.447,-0.238,-0.403
'0:00.007',-0.208,-0.665,-0.568,-0.436,-0.230,-0.389
'0:00.008',-0.210,-0.651,-0.556,-0.422,-0.218,-0.371
'0:00.009',-0.216,-0.646,-0.547,-0.409,-0.205,-0.354
'0:00.010',-0.220,-0.650,-0.544,-0.396,-0.193,-0.339
'0:00.011',-0.229,-0.659,-0.544,-0.384,-0.181,-0.325
'0:00.012',-0.238,-0.670,-0.546,-0.373,-0.170,-0.312
'0:00.013',-0.248,-0.681,-0.546,-0.362,-0.158,-0.301
'0:00.014',-0.239,-0.687,-0.546,-0.352,-0.149,-0.291
'0:00.015',-0.213,-0.691,-0.543,-0.342,-0.142,-0.284
'0:00.016',-0.204,-0.689,-0.538,-0.334,-0.137,-0.280
'0:00.017',-0.207,-0.683,-0.532,-0.328,-0.135,-0.278
'0:00.018',-0.203,-0.675,-0.524,-0.324,-0.136,-0.280
'0:00.019',-0.197,-0.664,-0.518,-0.322,-0.138,-0.283
'0:00.020',-0.197,-0.652,-0.511,-0.322,-0.143,-0.287
'0:00.021',-0.205,-0.639,-0.504,-0.324,-0.149,-0.292
'0:00.022',-0.206,-0.626,-0.499,-0.326,-0.154,-0.296
'0:00.023',-0.191,-0.611,-0.494,-0.329,-0.159,-0.301
'0:00.024',-0.185,-0.598,-0.490,-0.332,-0.163,-0.303
'0:00.025',-0.193,-0.587,-0.486,-0.334,-0.166,-0.306
'0:00.026',-0.191,-0.578,-0.482,-0.334,-0.167,-0.306
'0:00.027',-0.181,-0.571,-0.479,-0.333,-0.168,-0.306
'0:00.028',-0.183,-0.569,-0.477,-0.330,-0.167,-0.303
'0:00.029',-0.190,-0.571,-0.476,-0.326,-0.164,-0.301
'0:00.030',-0.185,-0.576,-0.475,-0.320,-0.162,-0.296
'0:00.031',-0.174,-0.584,-0.476,-0.315,-0.158,-0.291
'0:00.032',-0.174,-0.594,-0.476,-0.311,-0.155,-0.285
'0:00.033',-0.182,-0.603,-0.479,-0.306,-0.152,-0.280
'0:00.034',-0.179,-0.610,-0.481,-0.303,-0.149,-0.274
'0:00.035',-0.166,-0.615,-0.482,-0.300,-0.147,-0.268
'0:00.036',-0.165,-0.614,-0.482,-0.299,-0.145,-0.265
'0:00.037',-0.165,-0.610,-0.482,-0.298,-0.143,-0.263
'0:00.038',-0.160,-0.601,-0.479,-0.297,-0.143,-0.262
'0:00.039',-0.158,-0.590,-0.475,-0.298,-0.143,-0.262
'0:00.040',-0.158,-0.577,-0.470,-0.299,-0.144,-0.264
'0:00.041',-0.152,-0.565,-0.463,-0.300,-0.145,-0.265
'0:00.042',-0.154,-0.552,-0.456,-0.301,-0.147,-0.268
'0:00.043',-0.152,-0.541,-0.449,-0.302,-0.149,-0.271
'0:00.044',-0.154,-0.531,-0.441,-0.301,-0.151,-0.272
'0:00.045',-0.163,-0.524,-0.434,-0.301,-0.151,-0.273
'0:00.046',-0.160,-0.520,-0.429,-0.299,-0.151,-0.273
'0:00.047',-0.148,-0.516,-0.423,-0.295,-0.149,-0.272
'0:00.048',-0.149,-0.515,-0.419,-0.290,-0.146,-0.268
'0:00.049',-0.150,-0.516,-0.416,-0.283,-0.141,-0.262
'0:00.050',-0.149,-0.517,-0.414,-0.276,-0.135,-0.255
'0:00.051',-0.146,-0.520,-0.414,-0.268,-0.128,-0.245
'0:00.052',-0.147,-0.524,-0.415,-0.262,-0.121,-0.237
'0:00.053',-0.155,-0.530,-0.419,-0.259,-0.116,-0.227
'0:00.054',-0.149,-0.538,-0.425,-0.259,-0.112,-0.218
'0:00.055',-0.135,-0.546,-0.432,-0.262,-0.112,-0.211
'0:00.056',-0.141,-0.554,-0.440,-0.268,-0.115,-0.207
'0:00.057',-0.148,-0.559,-0.448,-0.278,-0.121,-0.207
'0:00.058',-0.136,-0.562,-0.454,-0.290,-0.130,-0.212
'0:00.059',-0.129,-0.559,-0.457,-0.300,-0.141,-0.218
'0:00.060',-0.138,-0.551,-0.456,-0.308,-0.151,-0.227
'0:00.061',-0.142,-0.536,-0.450,-0.311,-0.160,-0.236
'0:00.062',-0.135,-0.516,-0.437,-0.309,-0.165,-0.247
'0:00.063',-0.125,-0.493,-0.420,-0.299,-0.167,-0.256
'0:00.064',-0.125,-0.466,-0.400,-0.284,-0.164,-0.264
'0:00.065',-0.130,-0.440,-0.378,-0.267,-0.157,-0.271
'0:00.066',-0.124,-0.418,-0.358,-0.248,-0.149,-0.272
'0:00.067',-0.121,-0.402,-0.341,-0.231,-0.138,-0.272
'0:00.068',-0.129,-0.394,-0.331,-0.219,-0.129,-0.268
'0:00.069',-0.131,-0.392,-0.329,-0.212,-0.121,-0.261
'0:00.070',-0.127,-0.400,-0.334,-0.210,-0.115,-0.252
'0:00.071',-0.121,-0.412,-0.343,-0.212,-0.111,-0.242
'0:00.072',-0.121,-0.427,-0.355,-0.216,-0.108,-0.230
'0:00.073',-0.129,-0.442,-0.367,-0.223,-0.105,-0.219
'0:00.074',-0.122,-0.455,-0.378,-0.228,-0.104,-0.210
'0:00.075',-0.107,-0.462,-0.386,-0.232,-0.103,-0.201
'0:00.076',-0.108,-0.466,-0.390,-0.234,-0.102,-0.196
'0:00.077',-0.115,-0.465,-0.392,-0.235,-0.101,-0.194
'0:00.078',-0.114,-0.459,-0.390,-0.235,-0.102,-0.194
'0:00.079',-0.116,-0.452,-0.386,-0.234,-0.105,-0.195
'0:00.080',-0.117,-0.442,-0.381,-0.234,-0.108,-0.198
'0:00.081',-0.120,-0.434,-0.375,-0.234,-0.111,-0.202
'0:00.082',-0.118,-0.424,-0.368,-0.234,-0.115,-0.206
'0:00.083',-0.107,-0.415,-0.362,-0.236,-0.117,-0.210
'0:00.084',-0.110,-0.406,-0.355,-0.236,-0.120,-0.212
'0:00.085',-0.116,-0.397,-0.349,-0.236,-0.121,-0.214
'0:00.086',-0.110,-0.391,-0.344,-0.235,-0.121,-0.214
'0:00.087',-0.102,-0.386,-0.341,-0.233,-0.120,-0.213
'0:00.088',-0.105,-0.384,-0.339,-0.230,-0.117,-0.211
'0:00.089',-0.115,-0.384,-0.339,-0.228,-0.114,-0.206
'0:00.090',-0.115,-0.386,-0.339,-0.223,-0.112,-0.202
'0:00.091',-0.099,-0.391,-0.341,-0.217,-0.108,-0.196
'0:00.092',-0.095,-0.396,-0.342,-0.211,-0.105,-0.190
'0:00.093',-0.109,-0.401,-0.343,-0.205,-0.101,-0.183
'0:00.094',-0.111,-0.404,-0.343,-0.199,-0.096,-0.177
'0:00.095',-0.100,-0.406,-0.344,-0.194,-0.092,-0.171
'0:00.096',-0.102,-0.405,-0.344,-0.190,-0.089,-0.166
'0:00.097',-0.107,-0.402,-0.343,-0.187,-0.087,-0.164
'0:00.098',-0.102,-0.398,-0.342,-0.188,-0.087,-0.164
'0:00.099',-0.095,-0.392,-0.340,-0.190,-0.087,-0.166
'0:00.100',-0.098,-0.385,-0.338,-0.192,-0.089,-0.169
'0:00.101',-0.103,-0.377,-0.334,-0.195,-0.092,-0.174
'0:00.102',-0.099,-0.368,-0.330,-0.197,-0.094,-0.178
'0:00.103',-0.091,-0.358,-0.326,-0.199,-0.096,-0.182
'0:00.104',-0.090,-0.350,-0.321,-0.199,-0.098,-0.185
'0:00.105',-0.100,-0.342,-0.315,-0.200,-0.099,-0.187
'0:00.106',-0.101,-0.336,-0.310,-0.199,-0.100,-0.187
'0:00.107',-0.094,-0.331,-0.305,-0.196,-0.100,-0.186
'0:00.108',-0.086,-0.329,-0.302,-0.193,-0.098,-0.183
'0:00.109',-0.077,-0.331,-0.299,-0.189,-0.096,-0.179
'0:00.110',-0.080,-0.334,-0.299,-0.184,-0.094,-0.174
'0:00.111',-0.082,-0.340,-0.300,-0.180,-0.090,-0.169
'0:00.112',-0.079,-0.350,-0.303,-0.175,-0.087,-0.164
'0:00.113',-0.083,-0.359,-0.306,-0.172,-0.085,-0.160
'0:00.114',-0.081,-0.369,-0.311,-0.171,-0.083,-0.156
'0:00.115',-0.074,-0.377,-0.316,-0.169,-0.083,-0.153
'0:00.116',-0.080,-0.382,-0.319,-0.171,-0.084,-0.152
'0:00.117',-0.090,-0.384,-0.322,-0.175,-0.086,-0.151
'0:00.118',-0.084,-0.382,-0.322,-0.180,-0.089,-0.153
'0:00.119',-0.072,-0.376,-0.322,-0.184,-0.092,-0.155
'0:00.120',-0.067,-0.366,-0.318,-0.189,-0.096,-0.157
'0:00.121',-0.077,-0.352,-0.313,-0.192,-0.098,-0.160
'0:00.122',-0.082,-0.336,-0.306,-0.193,-0.099,-0.162
'0:00.123',-0.070,-0.319,-0.298,-0.190,-0.099,-0.164
'0:00.124',-0.068,-0.303,-0.290,-0.185,-0.098,-0.167
'0:00.125',-0.075,-0.290,-0.283,-0.178,-0.096,-0.168
'0:00.126',-0.066,-0.281,-0.278,-0.171,-0.093,-0.170
'0:00.127',-0.054,-0.277,-0.275,-0.164,-0.091,-0.171
'0:00.128',-0.057,-0.279,-0.274,-0.160,-0.090,-0.171
'0:00.129',-0.068,-0.285,-0.276,-0.158,-0.089,-0.169
'0:00.130',-0.071,-0.295,-0.279,-0.156,-0.089,-0.167
'0:00.131',-0.065,-0.306,-0.285,-0.155,-0.088,-0.164
'0:00.132',-0.061,-0.318,-0.291,-0.154,-0.087,-0.159
'0:00.133',-0.064,-0.328,-0.296,-0.154,-0.085,-0.154
'0:00.134',-0.061,-0.336,-0.300,-0.152,-0.082,-0.146
'0:00.135',-0.053,-0.341,-0.302,-0.149,-0.080,-0.141
'0:00.136',-0.054,-0.341,-0.303,-0.147,-0.077,-0.135
'0:00.137',-0.059,-0.340,-0.302,-0.144,-0.076,-0.131
'0:00.138',-0.062,-0.334,-0.299,-0.142,-0.074,-0.129
'0:00.139',-0.062,-0.326,-0.295,-0.141,-0.076,-0.129
'0:00.140',-0.053,-0.316,-0.290,-0.140,-0.078,-0.130
'0:00.141',-0.053,-0.306,-0.282,-0.141,-0.081,-0.132
'0:00.142',-0.057,-0.293,-0.276,-0.142,-0.085,-0.136
'0:00.143',-0.050,-0.281,-0.271,-0.143,-0.087,-0.140
'0:00.144',-0.046,-0.270,-0.266,-0.146,-0.091,-0.143
'0:00.145',-0.057,-0.263,-0.261,-0.147,-0.093,-0.146
'0:00.146',-0.060,-0.258,-0.258,-0.149,-0.095,-0.148
'0:00.147',-0.053,-0.257,-0.257,-0.149,-0.096,-0.149
'0:00.148',-0.050,-0.260,-0.256,-0.150,-0.095,-0.149
'0:00.149',-0.051,-0.265,-0.257,-0.148,-0.093,-0.146
'0:00.150',-0.049,-0.271,-0.257,-0.146,-0.091,-0.143
'0:00.151',-0.042,-0.277,-0.260,-0.143,-0.087,-0.140
'0:00.152',-0.036,-0.283,-0.262,-0.140,-0.083,-0.134
'0:00.153',-0.045,-0.287,-0.264,-0.135,-0.080,-0.130
'0:00.154',-0.050,-0.289,-0.266,-0.130,-0.074,-0.126
'0:00.155',-0.043,-0.290,-0.268,-0.127,-0.071,-0.123
'0:00.156',-0.045,-0.290,-0.269,-0.123,-0.069,-0.121
'0:00.157',-0.050,-0.288,-0.268,-0.121,-0.067,-0.121
'0:00.158',-0.043,-0.286,-0.267,-0.118,-0.067,-0.123
'0:00.159',-0.036,-0.283,-0.263,-0.116,-0.067,-0.124
'0:00.160',-0.041,-0.277,-0.257,-0.114,-0.068,-0.127
'0:00.161',-0.050,-0.270,-0.249,-0.112,-0.069,-0.130
'0:00.162',-0.044,-0.261,-0.239,-0.109,-0.069,-0.132
'0:00.163',-0.034,-0.251,-0.229,-0.105,-0.070,-0.133
'0:00.164',-0.038,-0.239,-0.219,-0.102,-0.070,-0.134
'0:00.165',-0.047,-0.228,-0.211,-0.101,-0.070,-0.134
'0:00.166',-0.039,-0.220,-0.206,-0.099,-0.070,-0.132
'0:00.167',-0.030,-0.214,-0.203,-0.100,-0.069,-0.132
'0:00.168',-0.036,-0.211,-0.204,-0.101,-0.067,-0.129
'0:00.169',-0.049,-0.213,-0.208,-0.102,-0.067,-0.126
'0:00.170',-0.045,-0.219,-0.212,-0.103,-0.064,-0.122
'0:00.171',-0.030,-0.230,-0.220,-0.105,-0.063,-0.118
'0:00.172',-0.026,-0.239,-0.228,-0.105,-0.061,-0.113
'0:00.173',-0.038,-0.249,-0.236,-0.105,-0.060,-0.110
'0:00.174',-0.036,-0.255,-0.243,-0.106,-0.058,-0.105
'0:00.175',-0.017,-0.256,-0.248,-0.106,-0.057,-0.101
'0:00.176',-0.021,-0.254,-0.251,-0.105,-0.056,-0.097
'0:00.177',-0.035,-0.248,-0.252,-0.106,-0.055,-0.095
'0:00.178',-0.033,-0.241,-0.250,-0.108,-0.056,-0.094
'0:00.179',-0.024,-0.233,-0.247,-0.108,-0.056,-0.093
'0:00.180',-0.021,-0.226,-0.241,-0.108,-0.056,-0.094
'0:00.181',-0.025,-0.218,-0.235,-0.110,-0.058,-0.095
'0:00.182',-0.019,-0.211,-0.228,-0.111,-0.060,-0.099
'0:00.183',-0.010,-0.203,-0.220,-0.111,-0.062,-0.102
'0:00.184',-0.014,-0.196,-0.213,-0.113,-0.065,-0.108
'0:00.185',-0.025,-0.191,-0.208,-0.114,-0.068,-0.113
'0:00.186',-0.019,-0.186,-0.203,-0.115,-0.071,-0.117
'0:00.187',-0.005,-0.184,-0.200,-0.116,-0.073,-0.120
'0:00.188',-0.001,-0.184,-0.199,-0.116,-0.073,-0.120
'0:00.189',-0.006,-0.186,-0.199,-0.114,-0.072,-0.116
'0:00.190',-0.011,-0.189,-0.200,-0.113,-0.070,-0.111
'0:00.191',-0.007,-0.196,-0.201,-0.111,-0.066,-0.104
'0:00.192',0.001,-0.203,-0.203,-0.110,-0.062,-0.096
'0:00.193',-0.001,-0.212,-0.205,-0.109,-0.058,-0.089
'0:00.194',-0.005,-0.217,-0.206,-0.109,-0.053,-0.083
'0:00.195',0.005,-0.222,-0.207,-0.106,-0.051,-0.079
'0:00.196',0.005,-0.224,-0.206,-0.102,-0.048,-0.078
'0:00.197',0.005,-0.223,-0.204,-0.098,-0.046,-0.078
'0:00.198',0.015,-0.219,-0.202,-0.091,-0.045,-0.080
'0:00.199',0.021,-0.211,-0.198,-0.083,-0.045,-0.082
'0:00.200',0.015,-0.201,-0.194,-0.077,-0.045,-0.085
'0:00.201',0.003,-0.189,-0.189,-0.072,-0.046,-0.088
'0:00.202',0.003,-0.175,-0.183,-0.069,-0.046,-0.091
'0:00.203',0.020,-0.160,-0.177,-0.067,-0.048,-0.093
'0:00.204',0.029,-0.146,-0.171,-0.069,-0.049,-0.096
'0:00.205',0.017,-0.135,-0.167,-0.071,-0.052,-0.098
'0:00.206',0.017,-0.127,-0.163,-0.073,-0.053,-0.100
'0:00.207',0.023,-0.124,-0.160,-0.075,-0.054,-0.101
'0:00.208',0.025,-0.126,-0.159,-0.075,-0.055,-0.101
'0:00.209',0.021,-0.131,-0.160,-0.075,-0.055,-0.100
'0:00.210',0.019,-0.141,-0.162,-0.073,-0.053,-0.097
'0:00.211',0.029,-0.152,-0.166,-0.072,-0.052,-0.093
'0:00.212',0.032,-0.165,-0.171,-0.071,-0.051,-0.089
'0:00.213',0.012,-0.177,-0.176,-0.069,-0.049,-0.085
'0:00.214',0.014,-0.188,-0.181,-0.066,-0.048,-0.079
'0:00.215',0.042,-0.196,-0.186,-0.065,-0.048,-0.075
'0:00.216',0.043,-0.201,-0.189,-0.063,-0.046,-0.072
'0:00.217',0.026,-0.202,-0.191,-0.061,-0.046,-0.071
'0:00.218',0.028,-0.201,-0.189,-0.061,-0.046,-0.071
'0:00.219',0.039,-0.196,-0.188,-0.060,-0.046,-0.071
'0:00.220',0.039,-0.188,-0.184,-0.061,-0.047,-0.073
'0:00.221',0.031,-0.178,-0.180,-0.062,-0.049,-0.076
'0:00.222',0.029,-0.165,-0.175,-0.063,-0.049,-0.078
'0:00.223',0.030,-0.150,-0.169,-0.065,-0.051,-0.080
'0:00.224',0.028,-0.136,-0.163,-0.067,-0.053,-0.082
'0:00.225',0.034,-0.125,-0.159,-0.068,-0.055,-0.085
'0:00.226',0.046,-0.117,-0.155,-0.070,-0.056,-0.086
'0:00.227',0.044,-0.115,-0.152,-0.071,-0.058,-0.088
'0:00.228',0.032,-0.116,-0.151,-0.069,-0.056,-0.088
'0:00.229',0.026,-0.123,-0.151,-0.068,-0.056,-0.088
'0:00.230',0.028,-0.132,-0.151,-0.066,-0.053,-0.086
'0:00.231',0.033,-0.143,-0.152,-0.062,-0.051,-0.085
'0:00.232',0.029,-0.154,-0.155,-0.059,-0.048,-0.080
'0:00.233',0.012,-0.165,-0.156,-0.056,-0.045,-0.076
'0:00.234',0.012,-0.173,-0.159,-0.053,-0.041,-0.071
'0:00.235',0.026,-0.179,-0.161,-0.052,-0.040,-0.066
'0:00.236',0.025,-0.183,-0.164,-0.051,-0.038,-0.064
'0:00.237',0.011,-0.184,-0.166,-0.052,-0.038,-0.062
'0:00.238',0.010,-0.183,-0.166,-0.054,-0.039,-0.061
'0:00.239',0.016,-0.179,-0.165,-0.056,-0.040,-0.062
'0:00.240',0.018,-0.174,-0.163,-0.058,-0.042,-0.063
'0:00.241',0.014,-0.165,-0.158,-0.060,-0.044,-0.066
'0:00.242',0.010,-0.153,-0.152,-0.063,-0.046,-0.070
'0:00.243',0.014,-0.140,-0.146,-0.065,-0.048,-0.075
'0:00.244',0.014,-0.125,-0.141,-0.067,-0.050,-0.078
'0:00.245',0.002,-0.112,-0.134,-0.068,-0.051,-0.081
'0:00.246',-0.003,-0.101,-0.128,-0.068,-0.052,-0.085
'0:00.247',0.011,-0.095,-0.123,-0.067,-0.052,-0.086
'0:00.248',0.018,-0.091,-0.120,-0.066,-0.052,-0.086
'0:00.249',0.008,-0.094,-0.118,-0.064,-0.050,-0.085
'0:00.250',0.005,-0.101,-0.117,-0.061,-0.048,-0.082
'0:00.251',0.020,-0.111,-0.120,-0.059,-0.045,-0.078
'0:00.252',0.028,-0.124,-0.124,-0.058,-0.042,-0.074
'0:00.253',0.020,-0.137,-0.130,-0.057,-0.039,-0.069
'0:00.254',0.019,-0.147,-0.135,-0.056,-0.037,-0.064
'0:00.255',0.031,-0.155,-0.140,-0.055,-0.035,-0.060
'0:00.256',0.021,-0.159,-0.142,-0.054,-0.033,-0.056
'0:00.257',0.008,-0.159,-0.142,-0.054,-0.032,-0.055
'0:00.258',0.015,-0.155,-0.139,-0.052,-0.032,-0.056
'0:00.259',0.028,-0.147,-0.133,-0.050,-0.033,-0.056
'0:00.260',0.031,-0.136,-0.126,-0.048,-0.033,-0.058
'0:00.261',0.022,-0.124,-0.116,-0.046,-0.036,-0.060
'0:00.262',0.025,-0.111,-0.108,-0.044,-0.037,-0.063
'0:00.263',0.040,-0.100,-0.101,-0.045,-0.039,-0.066
'0:00.264',0.041,-0.091,-0.096,-0.046,-0.042,-0.069
'0:00.265',0.023,-0.085,-0.095,-0.049,-0.045,-0.071
'0:00.266',0.018,-0.084,-0.096,-0.053,-0.047,-0.073
'0:00.267',0.029,-0.086,-0.098,-0.058,-0.048,-0.073
'0:00.268',0.034,-0.091,-0.102,-0.061,-0.048,-0.072
'0:00.269',0.030,-0.097,-0.107,-0.065,-0.047,-0.070
'0:00.270',0.032,-0.105,-0.113,-0.066,-0.045,-0.066
'0:00.271',0.039,-0.113,-0.119,-0.066,-0.042,-0.062
'0:00.272',0.037,-0.121,-0.125,-0.065,-0.040,-0.059
'0:00.273',0.020,-0.127,-0.132,-0.062,-0.036,-0.056
'0:00.274',0.019,-0.131,-0.136,-0.058,-0.032,-0.052
'0:00.275',0.030,-0.134,-0.139,-0.054,-0.029,-0.048
'0:00.276',0.029,-0.134,-0.141,-0.049,-0.024,-0.044
'0:00.277',0.021,-0.131,-0.138,-0.045,-0.021,-0.040
'0:00.278',0.017,-0.126,-0.135,-0.039,-0.017,-0.036
'0:00.279',0.018,-0.116,-0.127,-0.035,-0.013,-0.031
'0:00.280',0.016,-0.105,-0.118,-0.031,-0.011,-0.026
'0:00.281',0.003,-0.090,-0.106,-0.026,-0.006,-0.021
'0:00.282',-0.005,-0.074,-0.094,-0.021,-0.002,-0.017
'0:00.283',0.011,-0.057,-0.080,-0.016,0.005,-0.012
'0:00.284',0.021,-0.041,-0.065,-0.010,0.012,-0.008
'0:00.285',0.021,-0.025,-0.050,-0.002,0.022,-0.002
'0:00.286',0.038,-0.010,-0.036,0.007,0.031,0.005
'0:00.287',0.066,0.004,-0.022,0.017,0.042,0.012
'0:00.288',0.090,0.015,-0.010,0.028,0.053,0.020
'0:00.289',0.105,0.025,0.001,0.038,0.062,0.027
'0:00.290',0.130,0.031,0.008,0.047,0.070,0.033
'0:00.291',0.181,0.033,0.011,0.054,0.076,0.036
'0:00.292',0.243,0.032,0.012,0.058,0.076,0.035
'0:00.293',0.295,0.028,0.009,0.060,0.076,0.032
'0:00.294',0.346,0.022,0.004,0.058,0.072,0.024
'0:00.295',0.403,0.017,-0.003,0.052,0.065,0.012
'0:00.296',0.462,0.011,-0.011,0.045,0.054,-0.004
'0:00.297',0.536,0.008,-0.020,0.034,0.042,-0.023
'0:00.298',0.627,0.008,-0.028,0.021,0.026,-0.047
'0:00.299',0.710,0.010,-0.037,0.007,0.008,-0.073
'0:00.300',0.780,0.014,-0.045,-0.011,-0.012,-0.101
'0:00.301',0.849,0.020,-0.053,-0.028,-0.034,-0.131
'0:00.302',0.923,0.026,-0.060,-0.047,-0.056,-0.160
'0:00.303',1.000,0.031,-0.068,-0.067,-0.079,-0.187
'0:00.304',1.073,0.034,-0.076,-0.087,-0.101,-0.214
'0:00.305',1.133,0.033,-0.082,-0.106,-0.121,-0.237
'0:00.306',1.185,0.030,-0.091,-0.126,-0.138,-0.258
'0:00.307',1.234,0.022,-0.099,-0.142,-0.153,-0.274
'0:00.308',1.279,0.011,-0.108,-0.153,-0.165,-0.286
'0:00.309',1.315,-0.004,-0.118,-0.161,-0.174,-0.295
'0:00.310',1.346,-0.021,-0.130,-0.165,-0.181,-0.301
'0:00.311',1.369,-0.041,-0.141,-0.166,-0.185,-0.305
